alpha_cc,alpha_Ia,g_cc,g_ratio,reduced_chi2
0.26,0.3,0.27999999999999997,2.8000000000000003,0.0005613981854216036
0.26,0.3,0.27999999999999997,2.7800000000000002,0.0005622353593867876
0.27999999999999997,0.27999999999999997,0.27999999999999997,2.8000000000000003,0.0005635317089447991
0.27999999999999997,0.27999999999999997,0.27999999999999997,2.7800000000000002,0.0005644792410180721
0.27999999999999997,0.26,0.27999999999999997,2.7600000000000002,0.0005657741125496869
0.27999999999999997,0.26,0.27999999999999997,2.74,0.0005665396682624439
0.26,0.27999999999999997,0.27999999999999997,2.7600000000000002,0.0005670201856456733
0.26,0.27999999999999997,0.27999999999999997,2.74,0.0005679824561903174
0.24,0.31999999999999995,0.27999999999999997,2.7800000000000002,0.0005687238628767739
0.24,0.31999999999999995,0.27999999999999997,2.8000000000000003,0.0005687818809987674
0.26,0.3,0.27999999999999997,2.7600000000000002,0.000570092685595043
0.27999999999999997,0.26,0.27999999999999997,2.7800000000000002,0.0005723508229437997
0.27999999999999997,0.27999999999999997,0.27999999999999997,2.7600000000000002,0.0005726406421528784
0.3,0.24,0.27999999999999997,2.74,0.0005727580172370212
0.3,0.26,0.27999999999999997,2.8000000000000003,0.0005730029437983206
0.3,0.24,0.27999999999999997,2.7600000000000002,0.0005730513955285507
0.26,0.27999999999999997,0.27999999999999997,2.7800000000000002,0.0005732046697074084
0.3,0.26,0.27999999999999997,2.7800000000000002,0.0005732280271924889
0.27999999999999997,0.26,0.27999999999999997,2.72,0.0005747506261917517
0.24,0.31999999999999995,0.27999999999999997,2.7600000000000002,0.0005754930019027829
0.26,0.27999999999999997,0.27999999999999997,2.72,0.0005761910111947608
0.24,0.3,0.27999999999999997,2.7600000000000002,0.0005788296396802147
0.24,0.3,0.27999999999999997,2.74,0.0005791748015470023
0.3,0.24,0.27999999999999997,2.72,0.0005801091106900812
0.3,0.26,0.27999999999999997,2.7600000000000002,0.0005808608446323986
0.3,0.24,0.27999999999999997,2.7800000000000002,0.0005808824008380791
0.24,0.33999999999999997,0.27999999999999997,2.8000000000000003,0.0005810400537441225
0.26,0.31999999999999995,0.27999999999999997,2.8000000000000003,0.0005811857798506611
0.26,0.3,0.27999999999999997,2.74,0.0005850669335793644
0.31999999999999995,0.21999999999999997,0.27999999999999997,2.74,0.0005853810360998186
0.24,0.3,0.27999999999999997,2.7800000000000002,0.000585436170323201
0.27999999999999997,0.24,0.27999999999999997,2.72,0.000585911684178223
0.27999999999999997,0.26,0.27999999999999997,2.8000000000000003,0.0005861684448763827
0.26,0.27999999999999997,0.27999999999999997,2.8000000000000003,0.0005864380869768907
0.27999999999999997,0.24,0.27999999999999997,2.7,0.0005864966720101148
0.24,0.3,0.27999999999999997,2.72,0.0005865676865768801
0.31999999999999995,0.24,0.27999999999999997,2.7800000000000002,0.0005870841127037823
0.21999999999999997,0.33999999999999997,0.27999999999999997,2.7800000000000002,0.0005870954455858945
0.31999999999999995,0.21999999999999997,0.27999999999999997,2.7600000000000002,0.0005876449536897587
0.27999999999999997,0.27999999999999997,0.27999999999999997,2.74,0.0005881161850238048
0.27999999999999997,0.3,0.27999999999999997,2.8000000000000003,0.0005883156643813698
0.31999999999999995,0.24,0.27999999999999997,2.8000000000000003,0.0005884633741313423
0.21999999999999997,0.33999999999999997,0.27999999999999997,2.8000000000000003,0.000588787586576251
0.24,0.31999999999999995,0.27999999999999997,2.74,0.000589182671536312
0.26,0.26,0.27999999999999997,2.72,0.0005899348690172465
0.27999999999999997,0.26,0.27999999999999997,2.7,0.0005905119437339909
0.3,0.21999999999999997,0.27999999999999997,2.7,0.0005907994185012385
0.31999999999999995,0.21999999999999997,0.27999999999999997,2.72,0.0005909599403769981
0.26,0.26,0.27999999999999997,2.7,0.0005910327277364579
0.21999999999999997,0.36,0.27999999999999997,2.8000000000000003,0.0005912111477441931
0.3,0.21999999999999997,0.27999999999999997,2.72,0.0005916195293877144
0.26,0.27999999999999997,0.27999999999999997,2.7,0.000591747126895973
0.21999999999999997,0.33999999999999997,0.27999999999999997,2.7600000000000002,0.0005920386886959185
0.27999999999999997,0.24,0.27999999999999997,2.74,0.000592905287530431
0.31999999999999995,0.24,0.27999999999999997,2.7600000000000002,0.0005933059590232419
0.24,0.33999999999999997,0.27999999999999997,2.7800000000000002,0.0005939119594167662
0.27999999999999997,0.24,0.27999999999999997,2.68,0.0005947682338085046
0.3,0.24,0.27999999999999997,2.7,0.000595213420401965
0.26,0.31999999999999995,0.27999999999999997,2.7800000000000002,0.0005956010355828461
0.3,0.26,0.27999999999999997,2.74,0.0005960052749321981
0.3,0.24,0.27999999999999997,2.8000000000000003,0.0005961460465495897
0.26,0.26,0.27999999999999997,2.74,0.0005962146732682327
0.31999999999999995,0.21999999999999997,0.27999999999999997,2.7800000000000002,0.0005976410437746707
0.3,0.21999999999999997,0.27999999999999997,2.68,0.0005978703421326082
0.24,0.3,0.27999999999999997,2.8000000000000003,0.0005989000016277202
0.26,0.26,0.27999999999999997,2.68,0.0005996124424577341
0.3,0.27999999999999997,0.27999999999999997,2.8000000000000003,0.0006000140353899244
0.3,0.21999999999999997,0.27999999999999997,2.74,0.0006002187971107767
0.24,0.3,0.27999999999999997,2.7,0.0006011060004502234
0.21999999999999997,0.36,0.27999999999999997,2.7800000000000002,0.0006018314074504652
0.31999999999999995,0.19999999999999998,0.27999999999999997,2.7,0.0006028240671320224
0.21999999999999997,0.31999999999999995,0.27999999999999997,2.74,0.0006031319077245545
0.27999999999999997,0.3,0.27999999999999997,2.7800000000000002,0.0006035196768870073
0.21999999999999997,0.33999999999999997,0.27999999999999997,2.74,0.0006037074028621681
0.33999999999999997,0.19999999999999998,0.27999999999999997,2.74,0.0006039141407037123
0.21999999999999997,0.31999999999999995,0.27999999999999997,2.7600000000000002,0.0006041712439504678
0.31999999999999995,0.21999999999999997,0.27999999999999997,2.7,0.0006044942977952419
0.33999999999999997,0.21999999999999997,0.27999999999999997,2.7800000000000002,0.0006054112657988975
0.24,0.27999999999999997,0.27999999999999997,2.72,0.000605590828134436
0.31999999999999995,0.19999999999999998,0.27999999999999997,2.72,0.0006059911633373945
0.24,0.27999999999999997,0.27999999999999997,2.7,0.0006063581263685172
0.33999999999999997,0.19999999999999998,0.27999999999999997,2.72,0.0006067583353701837
0.31999999999999995,0.24,0.27999999999999997,2.74,0.0006072364953823247
0.26,0.3,0.27999999999999997,2.72,0.000607256556640623
0.27999999999999997,0.24,0.27999999999999997,2.7600000000000002,0.0006073713893421486
0.31999999999999995,0.19999999999999998,0.27999999999999997,2.68,0.0006077515046289414
0.21999999999999997,0.31999999999999995,0.27999999999999997,2.72,0.0006089428201097523
0.33999999999999997,0.19999999999999998,0.27999999999999997,2.7600000000000002,0.0006091096696296467
0.33999999999999997,0.21999999999999997,0.27999999999999997,2.7600000000000002,0.0006092897467044934
0.33999999999999997,0.21999999999999997,0.27999999999999997,2.8000000000000003,0.000609326077817344
0.26,0.26,0.27999999999999997,2.7600000000000002,0.0006097697592883269
0.24,0.31999999999999995,0.27999999999999997,2.72,0.0006098878607248761
0.27999999999999997,0.24,0.27999999999999997,2.66,0.0006108362851289527
0.27999999999999997,0.27999999999999997,0.27999999999999997,2.72,0.0006110078977891761
0.21999999999999997,0.31999999999999995,0.27999999999999997,2.7800000000000002,0.0006119681872084231
0.24,0.27999999999999997,0.27999999999999997,2.74,0.0006120005337211117
0.3,0.21999999999999997,0.27999999999999997,2.66,0.0006129461947639786
0.24,0.33999999999999997,0.27999999999999997,2.7600000000000002,0.000613579283643123
0.27999999999999997,0.26,0.27999999999999997,2.68,0.0006139304404083853
0.24,0.27999999999999997,0.27999999999999997,2.68,0.0006144029421636928
0.31999999999999995,0.26,0.27999999999999997,2.8000000000000003,0.0006146913131491884
0.26,0.27999999999999997,0.27999999999999997,2.68,0.0006147538648801045
0.3,0.27999999999999997,0.27999999999999997,2.7800000000000002,0.000615203593371651
0.31999999999999995,0.21999999999999997,0.27999999999999997,2.8000000000000003,0.0006152605951560543
0.26,0.26,0.27999999999999997,2.66,0.0006157800587808252
0.19999999999999998,0.38,0.27999999999999997,2.8000000000000003,0.0006160775771667442
0.3,0.21999999999999997,0.27999999999999997,2.7600000000000002,0.0006164873159714234
0.26,0.31999999999999995,0.27999999999999997,2.7600000000000002,0.0006170058646179528
0.31999999999999995,0.19999999999999998,0.27999999999999997,2.74,0.0006171369225468925
